thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,39,99,001,26,f,r,calibration,0.85,2,-1,13,0.843309065531368,1.683058221685953,0,False,0.36466389999259263,False,square,dot,0.2325641366460534,1.1634642317474264,210.5870259462842,33.0048492586836,740,[np.int64(534)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,40,99,001,26,f,r,calibration,0.85,2,-1,14,0.8743676768795192,1.940141399511088,0,False,0.4500124999904074,False,square,dot,0.20151484998982472,1.4325553094580452,259.2925110119062,33.34522784570315,538,[np.int64(1046)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,41,99,001,26,f,r,calibration,0.85,2,-1,15,0.8743676768795192,1.940141399511088,0,False,2.818137799971737,False,square,dot,0.17340328628213345,1.3716504327757326,248.26872833240762,25.91223548892625,1504,[np.int64(124)],nan,nan,nan,nan,nan,,,,,,,,,,99,001,26,f,r,0.17174237722903368,False,,,,,
,,42,99,001,26,f,r,test,,2,1,1,0.17174237722903368,,1,False,1.6858251999947242,False,img_B,img_B,,3.9166209112063286,701.0751431059329,153.2838537910238,1079,[np.int64(1324)],,,,,,low,0.17174237722903368,6,cigarette_06s,sponge_06s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,43,99,001,26,f,r,test,,2,1,2,0.17174237722903368,,0,False,1.062485900009051,False,img_B,img_A,,-2.532149903793747,-458.31913258666816,411.41719834876056,795,[np.int64(574)],,,,,,low,0.17174237722903368,4,waffle_iron_03s,macaroni_11s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,44,99,001,26,f,r,test,,2,1,3,0.17174237722903368,,1,False,3.260494699992705,False,img_B,img_B,,0.6453480663300728,116.80800000574317,354.16792986433666,642,[np.int64(69)],,,,,,low,0.17174237722903368,3,juicer1_06s,bubble_wrap_11s,11,21,31,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,45,99,001,26,f,r,test,,2,1,4,0.17174237722903368,,0,False,1.4464863000321202,False,img_A,img_B,,1.0087796688597503,182.5891200636148,349.1618043865496,1253,[np.int64(686)],,,,,,low,0.17174237722903368,4,doorknocker_04s,ham_11s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,46,99,001,26,f,r,test,,2,1,5,0.17174237722903368,,0,False,4.145160999963991,False,img_A,img_B,,-0.3812066356389092,-68.99840105064257,2.698720869272798,755,[np.int64(1352)],,,,,,low,0.17174237722903368,3,urinal_10s,bedpan_13s,11,21,31,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,47,99,001,26,f,r,test,,2,2,1,0.8999999999999999,,1,False,0.4773960000020452,False,img_B,img_B,,2.320533895389184,420.0166350654423,64.21693985894848,1101,[np.int64(1053)],,,,,,high,0.8999999999999999,4,banana_06s,apron_10s,13,23,33,41,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
,,48,99,001,26,f,r,test,,2,2,2,0.8999999999999999,,0,False,1.010658599960152,False,img_A,img_B,,1.2492763956036286,226.1190276042568,38.3401353892831,572,[np.int64(924)],,,,,,high,0.8999999999999999,4,bracelet1_12s,mushroom_07n,13,23,33,42,99,001,26,f,r,0.17174237722903368,False,0.8999999999999999,True,"['low', 'high', 'low', 'high', 'low', 'high']",low,
