thisRow.t,notes,trial_num,participant,session,phase,n_shapes,block_num,staircase_trial,prop_used,stimulus_logit,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,angle_bias,applied_angle_bias,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,difficulty_level,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,mem_item_num,mem_filename,mem_ground_truth,mem_response,mem_accuracy,mem_rt,mem_trigger_onset,mem_trigger_resp,participant,session,age,gender,handedness,quest_threshold_75,quest_alpha_sd,miniblock_order,starts_with,
,,37,99,001,test,2,3,,0.6580745541515514,,1,False,1.0359352999948896,False,img_A,img_A,0,0,0.27513524190566885,12.82384684401612,2321.1162787669177,179.50978082562042,211,[np.int64(1155)],,,,,,level_1,0.8646483875697211,3,ketchup_15s,vest_05s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,38,99,001,test,2,3,,0.6580745541515514,,1,False,2.4444737999874633,False,img_A,img_A,0,0,0.27513524190566885,8.482507946006168,1518.368922335104,131.84218450993387,898,[np.int64(649)],,,,,,level_1,0.8646483875697211,4,spareribs_07s,soap_06s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,39,99,001,test,2,3,,0.6580745541515514,,1,False,0.7782108999963384,False,img_A,img_A,0,0,0.27513524190566885,12.961179611296474,2281.1676115881796,205.50162528081322,740,[np.int64(534)],,,,,,level_1,0.8646483875697211,5,hairdryer_07s,pepper_mill_02s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,40,99,001,test,2,3,,0.6580745541515514,,1,False,1.2784262999921339,False,img_B,img_B,0,0,0.27513524190566885,15.868036735291682,2872.1146490877945,201.18246070067042,538,[np.int64(1046)],,,,,,level_1,0.8646483875697211,5,yarn_14s,prune_01b,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,41,99,001,test,2,3,,0.6580745541515514,,1,False,0.7855891999934101,False,img_A,img_A,0,0,0.27513524190566885,20.55580349556602,3720.60043269745,186.57738505130547,1504,[np.int64(124)],,,,,,level_1,0.8646483875697211,5,tiramisu_12s,chaps_14s,11,21,31,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,42,99,001,test,2,4,,0.8999999999999999,,0,False,0.9824806999968132,False,img_B,img_A,0,0,0.27513524190566885,15.300117671008477,2754.021180781526,186.25703857068854,1079,[np.int64(1324)],,,,,,level_3,0.8646483875697211,3,pallet_10s,toast_07s,13,23,33,42,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,43,99,001,test,2,4,,0.8999999999999999,,1,False,0.7473083999939263,False,img_A,img_A,0,0,0.27513524190566885,14.769414165072108,2673.2639638780515,226.99219642597797,795,[np.int64(574)],,,,,,level_3,0.8646483875697211,3,alpaca_07s,meatball_08s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,44,99,001,test,2,4,,0.8999999999999999,,0,False,0.8619007000088459,False,img_B,img_A,0,0,0.27513524190566885,14.773516526891514,2674.006491367364,176.161091065465,642,[np.int64(69)],,,,,,level_3,0.8646483875697211,3,pin_04s,lion_15s,13,23,33,42,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,45,99,001,test,2,4,,0.8999999999999999,,1,False,2.4293012999987695,False,img_A,img_A,0,0,0.27513524190566885,8.979988866797802,1616.3979960236043,115.84552690234042,1253,[np.int64(686)],,,,,,level_3,0.8646483875697211,3,dough_04s,dumbbell_07s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
,,46,99,001,test,2,4,,0.8999999999999999,,1,False,0.8558958000066923,False,img_B,img_B,0,0,0.27513524190566885,9.299656414488517,1683.2378110224215,185.3345361452234,755,[np.int64(1352)],,,,,,level_3,0.8646483875697211,5,garlic_03s,pill_03s,13,23,33,41,,,,,,,,,99,001,99,f,r,0.8646483875697211,0.27513524190566885,"['level_1', 'level_3', 'level_1', 'level_3', 'level_1', 'level_3']",level_1,
